Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Date,Letterboxd URI,totalSeasons
Lawrence of Arabia,1962,PG,02 Apr 2013,227 min,"Adventure, Biography, Drama",David Lean,"Robert Bolt, Michael Wilson","Peter O'Toole, Alec Guinness, Anthony Quinn","Due to his knowledge of the native Bedouin tribes, British Lieutenant T.E. Lawrence is sent to Arabia to find Prince Faisal and serve as a liaison between the Arabs and the British in their fight against the Turks. With the aid of native Sherif Ali, Lawrence rebels against the orders of his superior officer and strikes out on a daring camel journey across the harsh desert to attack a well-guarded Turkish port.","English, Arabic, Turkish","United Kingdom, United States",Won 7 Oscars. 31 wins & 14 nominations total,https://m.media-amazon.com/images/M/MV5BYjY0YTQ1OTAtYjEyNy00NTQ4LThlMTQtM2QwYTVhYWFhNjU5XkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",100,8.3,"334,419",tt0056172,movie,N/A,"$45,306,425",N/A,N/A,True,,,
Vertigo,1958,PG,28 May 1958,128 min,"Mystery, Romance, Thriller",Alfred Hitchcock,"Alec Coppel, Samuel A. Taylor, Pierre Boileau","James Stewart, Kim Novak, Barbara Bel Geddes","Following his early retirement as a detective from the San Francisco Police Department, John Ferguson - Scottie to his friends - becomes obsessed with two women in succession, those obsessions which trouble his long time friend and former fiancée, Midge Wood, a designer of women's undergarments. The first is wealthy and elegant platinum blonde Madeleine Elster, the wife of his college acquaintance Gavin Elster, who hires John to follow her in Gavin's belief that she may be a danger to herself in thinking that she has recently been possessed by the spirit of Carlotta Valdes, Madeleine's great-grandmother who she knows nothing about, but who Gavin knows committed suicide in being mentally unbalanced when she was twenty-six, Madeleine's current age. The second is Judy Barton, who John spots on the street one day. Judy is a working class girl, but what makes John obsessed with her is that, despite her working class style and her brunette hair, she is the spitting image of Madeleine, into who he tries to transform Judy. The initial question that John has is if there is some connection between Madeleine and Judy. What happens between John and individually with Madeleine and Judy is affected by the reason John took that early retirement: a recent workplace incident that showed that he is acrophobic which leads to a severe case of vertigo whenever he looks down from tall heights.",English,United States,Nominated for 2 Oscars. 9 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BNzEyZTUxMWItMGVhYy00Y2NlLTljYTMtYzBmMzI1YmUyMDBkXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",100,8.2,"453,030",tt0052357,movie,N/A,"$7,863,310",N/A,N/A,True,,,
Police Story 2,1988,PG-13,20 Aug 1988,101 min,"Action, Comedy, Crime",Jackie Chan,"Jackie Chan, Paul B. Clay, Edward Tang","Jackie Chan, Maggie Cheung, Kwok-Hung Lam","Despite his success at apprehending criminals, Kevin Chan's unorthodox approach to his work as a police officer sees him demoted to the traffic branch. Despite this, the man he put behind bars is now out of prison, and has vowed to make his life a misery. While this crime boss his harassing Kevin and his girlfriend, the police are contemplating reinstating Kevin to help them fight a group of bombers attempting to extort $10 million from building owners.",Cantonese,Hong Kong,2 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BOWVmNjQ0ZGItMDQ2Ni00MjllLTkyODctZGMyMzJiODE2ZDNlXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",68,7.1,"24,216",tt0095403,movie,N/A,N/A,N/A,N/A,True,,,
Babylon,2022,R,23 Dec 2022,189 min,"Comedy, Drama",Damien Chazelle,Damien Chazelle,"Brad Pitt, Margot Robbie, Jean Smart","A tale of outsized ambition and outrageous excess, it traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood.","English, Spanish, Italian, Cantonese, French, Hungarian, German",United States,Nominated for 3 Oscars. 45 wins & 158 nominations total,https://m.media-amazon.com/images/M/MV5BNGY3M2NkN2QtZTdhOS00YTNjLTgyYmMtMGY3Y2U0OTk2NjA0XkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",61,7.1,"198,997",tt10640346,movie,N/A,"$15,658,225",N/A,N/A,True,,,
Burn After Reading,2008,R,12 Sep 2008,96 min,"Comedy, Crime, Drama","Ethan Coen, Joel Coen","Joel Coen, Ethan Coen","Brad Pitt, Frances McDormand, George Clooney","Osbourne Cox, a Balkan expert, resigned from the CIA because of a drinking problem, so he begins a memoir. His wife wants a divorce and expects her lover, Harry, a philandering State Department marshal, to leave his wife. A CD-ROM falls out of a gym bag at a Georgetown fitness center. Two employees there try to turn it into cash: Linda, who wants money for cosmetic surgery, and Chad, an amiable goof. Information on the disc leads them to Osbourne who rejects their sales pitch; then they visit the Russian embassy. To sweeten the pot, they decide they need more of Osbourne's secrets. Meanwhile, Linda's boss likes her, and Harry's wife leaves for a book tour. All roads lead to Osbourne's house.",English,"United Kingdom, France, United States",Nominated for 3 BAFTA 8 wins & 32 nominations total,https://m.media-amazon.com/images/M/MV5BMjdmNjJjMzAtMmJkMy00MDJlLTgxYjctNDU3YjBkMmJhM2M5XkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",63,7.0,"371,137",tt0887883,movie,N/A,"$60,355,347",N/A,N/A,True,,,
Captain Alatriste: The Spanish Musketeer,2006,N/A,01 Sep 2006,145 min,"Adventure, Drama, History",Agustín Díaz Yanes,"Arturo Pérez-Reverte, Agustín Díaz Yanes, Carlota Pérez-Reverte","Viggo Mortensen, Elena Anaya, Unax Ugalde","Spain 17th century. Diego Alatriste, brave and heroic soldier, is fighting under his King's army in the Flandes region. His best mate, Balboa, falls in a trap and near to die ask to Diego, as his last desire, to looking after his son Íñigo and grow him as a soldier. Alatriste has to come back to Madrid.","Spanish, Flemish, Latin, Portuguese, Dutch",Spain,5 wins & 20 nominations total,https://m.media-amazon.com/images/M/MV5BMTM1MTc1MDQ2NV5BMl5BanBnXkFtZTcwMTQ3OTI2MQ@@._V1_SX300.jpg,"[object Object],[object Object]",N/A,6.1,"14,164",tt0395119,movie,N/A,N/A,N/A,N/A,True,,,
Southland Tales,2006,R,07 Dec 2007,145 min,"Comedy, Drama, Mystery",Richard Kelly,Richard Kelly,"Dwayne Johnson, Sarah Michelle Gellar, Seann William Scott","Southland Tales is an ensemble piece set in the futuristic landscape of Los Angeles on July 4, 2008, as it stands on the brink of social, economic and environmental disaster. Boxer Santaros is an action star who's stricken with amnesia. His life intertwines with Krysta Now, an adult film star developing her own reality television project, and Ronald Taverner, a Hermosa Beach police officer who holds the key to a vast conspiracy.",English,"France, Germany, United States",1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BOGEzOWQ4NzUtZTRiZi00MDU1LTg3OGMtMDk4NmFmODhkMjg5XkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",44,5.3,"41,898",tt0405336,movie,N/A,"$275,380",N/A,N/A,True,,,
Scream,1996,R,20 Dec 1996,111 min,"Horror, Mystery",Wes Craven,Kevin Williamson,"Neve Campbell, Courteney Cox, David Arquette","A year after her mother's death, Sidney Prescott (Neve Campbell) and her friends started experiencing some strange phone calls. They later learned the calls were coming from a crazed serial killer, in a white faced mask and a large black robe, looking for revenge. His phone calls usually consist of many questions, the main one being: What's your favorite scary movie? Along with much scary movie trivia, ending with bloody pieces of innocent lives scattered around the small town of Woodsboro.",English,United States,12 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BMjA2NjU5MTg5OF5BMl5BanBnXkFtZTgwOTkyMzQxMDE@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",66,7.4,"430,721",tt0117571,movie,N/A,"$103,046,663",N/A,N/A,True,,,
A Scanner Darkly,2006,R,28 Jul 2006,100 min,"Animation, Comedy, Crime",Richard Linklater,"Philip K. Dick, Richard Linklater","Keanu Reeves, Winona Ryder, Robert Downey Jr.","In a totalitarian society in a near future, the undercover detective Bob Arctor is working with a small time group of drug users trying to reach the big distributors of a brain-damaging drug called Substance D. His assignment is promoted by the recovery center New Path Corporation, and when Bob begins to lose his own identity and have schizophrenic behavior, he is submitted to tests to check his mental conditions.",English,United States,4 wins & 21 nominations total,https://m.media-amazon.com/images/M/MV5BMDliMjJiYTYtYWU0YS00OTUzLWI4MjMtYmM1YzgxNDcwOTZjXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",73,7.0,"120,627",tt0405296,movie,N/A,"$5,501,616",N/A,N/A,True,,,
White House Plumbers,2023,TV-MA,01 May 2023,N/A,"Biography, Drama, History",N/A,"Alex Gregory, Peter Huyck","Woody Harrelson, Justin Theroux, Lena Headey","In 1971, Egil ""Bud"" Krogh was summoned to a closed-door meeting by John Ehrlichman, his mentor and key confidant of President Richard Nixon, in a secluded office in the Western White House. Krogh thought he was walking into a meeting to discuss the drug control program launched on his most recent trip to South Vietnam. Instead, he was handed a file and the responsibility for the SIU, Special Investigations Unit, later to become notorious as ""The Plumbers."" The unit was to investigate the leaks of top-secret government documents, particularly the Pentagon Papers, to the press. The president considered this task critical to national security. Nixon said he wanted the unit headed up by a ""real son of a bitch."" He got the studious, zealous, and loyal-to-a-fault Bud Krogh instead.",English,United States,18 nominations total,https://m.media-amazon.com/images/M/MV5BMTA4NTRkYzAtMWY3OC00ZTk5LWE5YTAtNmM1ZTJmZTNjYTAyXkEyXkFqcGc@._V1_SX300.jpg,[object Object],N/A,6.8,"11,489",tt11468254,series,,,,,True,,,1
Wicked,2024,PG,22 Nov 2024,160 min,"Fantasy, Musical, Romance",Jon M. Chu,"Winnie Holzman, Dana Fox, Gregory Maguire","Cynthia Erivo, Ariana Grande, Jeff Goldblum","A vivid reimagining of the classic The Wizard of Oz, Wicked spotlights the untold stories of Oz's most famous (or infamous) characters, namely the Wicked Witch of the West and her unlikely friend, Glinda the Good Witch. The show follows green-skinned star Elphaba from birth to college and through the life-changing events which eventually label her ""wicked,"" introducing spoiled rich girl Glinda, local prince and heartthrob Fiyero and even the Wizard of Oz himself, a troubled man very unlike the one you may remember. As Elphaba, a passionate political activist if there ever was one, fights injustice and seeks to undo the mistakes of the past, dark secrets and personal tragedies shape the history of Oz, paying homage to the classic Wizard of Oz story while simultaneously changing fans' understanding of it forever. A cautionary tale about love, friendship and trust, Wicked effortlessly reveals that there are indeed two sides to every story.",English,"United Kingdom, United States, Canada",Won 2 Oscars. 125 wins & 324 nominations total,https://m.media-amazon.com/images/M/MV5BOWMwYjYzYmMtMWQ2Ni00NWUwLTg2MzAtYzkzMDBiZDIwOTMwXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",73,7.4,"191,746",tt1262426,movie,N/A,"$474,560,015",N/A,N/A,True,,,
American Pie,1999,R,09 Jul 1999,95 min,Comedy,Paul Weitz,Adam Herz,"Jason Biggs, Chris Klein, Thomas Ian Nicholas","Jim, Oz, Finch and Kevin are four friends who make a pact that before they graduate they will all lose their virginity. The hard job now is how to reach that goal by prom night. Whilst Oz begins singing to grab attention and Kevin tries to persuade his girlfriend, Finch tries any easy route of spreading rumors and Jim fails miserably. Whether it is being caught on top of a pie or on the Internet, Jim always ends up with his trusty sex advice from his father. Will they achieve their goal of getting laid by prom night? Or will they learn something much different?",English,United States,9 wins & 14 nominations total,https://m.media-amazon.com/images/M/MV5BMTg3ODY5ODI1NF5BMl5BanBnXkFtZTgwMTkxNTYxMTE@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",58,7.0,"457,741",tt0163651,movie,N/A,"$102,561,004",N/A,N/A,True,,,
The Running Man,1987,R,13 Nov 1987,101 min,"Action, Sci-Fi, Thriller",Paul Michael Glaser,"Stephen King, Steven E. de Souza","Arnold Schwarzenegger, Maria Conchita Alonso, Yaphet Kotto","In the year 2019, the world economy has collapsed. The great freedoms of the United States are no longer, as the once great nation has sealed off its borders and become a militarized police state, censoring all film, art, literature, and communications. Even so, a small resistance force led by two revolutionaries manages to fight the oppression. With full control over the media, the government attempts to quell the nation's yearning for freedom by broadcasting a number of game shows on which convicted criminals fight for their lives. The most popular and sadistic of these programs is ""The Running Man,"" hosted by Damon Killian. When a peaceful protest of starving citizens gathers in Bakersfield, California, a police officer named Ben Richards is ordered to fire on the crowd, which he refuses to do. Subdued by the other officers, the attack is carried out, and Richards is framed for the murder of almost a hundred unarmed civilians. Following a daring jail break months later, Richards is captured once again and forced to appear on ""The Running Man"" with three other convicts. With their help, he fights his way through a cadre of sadistic gladiators hunting them down through the ruins of a Los Angeles earthquake, but promising Killian that he'll return to settle the score when the show's host double-crosses him. In the meantime, the contestants must search through the ruins for the resistance in the hopes of finally broadcasting the truth about the government.","English, Italian, Japanese",United States,1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMDQwYzMwMDItYzFhZC00YjkzLTlmODAtMzg3NDFlNDhhZjYzXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",45,6.6,"184,738",tt0093894,movie,N/A,"$38,122,105",N/A,N/A,True,,,
The Boxtrolls,2014,PG,26 Sep 2014,96 min,"Animation, Adventure, Comedy","Graham Annable, Anthony Stacchi","Irena Brignull, Adam Pava, Alan Snow","Ben Kingsley, Jared Harris, Nick Frost","THE BOXTROLLS are a community of quirky, mischievous creatures who have lovingly raised an orphaned human boy named Eggs in the amazing cavernous home they've built beneath the streets of a city called Cheesebridge. The story is about a young orphaned boy raised by underground cave-dwelling trash collectors who tries to save his friends from an evil exterminator, the town's villain, Archibald Snatcher. When Snatcher comes up with a plot to get rid of the Boxtrolls. Eggs decides to venture above ground and ""into the light,"" where he meets and teams up with fabulously feisty Winnie. Together, they devise a daring plan to save The BoxTrolls family. The film is based upon the children's novel 'Here Be Monsters' by Alan Snow.",English,"United States, Canada",Nominated for 1 Oscar. 8 wins & 61 nominations total,https://m.media-amazon.com/images/M/MV5BMTQxODA5MDkyNV5BMl5BanBnXkFtZTgwMDMyNjkzMjE@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",61,6.8,"63,617",tt0787474,movie,N/A,"$50,837,305",N/A,N/A,True,,,
America: The Motion Picture,2021,TV-MA,30 Jun 2021,98 min,"Animation, Action, Adventure",Matt Thompson,Dave Callaham,"Channing Tatum, Jason Mantzoukas, Olivia Munn",A chainsaw-wielding George Washington teams with beer-loving bro Sam Adams to take down the Brits in a tongue-in-cheek riff on the American Revolution.,"English, French, Spanish","Brazil, Mexico, United States, Czech Republic",N/A,https://m.media-amazon.com/images/M/MV5BOTIyYzFlMzgtODA2MS00YThhLTg0OGUtZmM2MWQ0MDQxNmQ4XkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",38,5.6,"7,757",tt6733874,movie,N/A,N/A,N/A,N/A,True,,,
Doctor Sleep,2019,R,08 Nov 2019,152 min,"Drama, Fantasy, Horror",Mike Flanagan,"Mike Flanagan, Stephen King","Ewan McGregor, Rebecca Ferguson, Kyliegh Curran","On highways across America, a tribe of people called The True Knot travel in search of sustenance. They look harmless-mostly old, lots of polyester, and married to their RVs. But as Dan Torrance knows, and tween Abra Stone learns, The True Knot are quasi-immortal, living off the ""steam"" that children with the ""shining"" produce when they are slowly tortured to death. Haunted by the inhabitants of the Overlook Hotel where he spent one horrific childhood year, Dan has been drifting for decades, desperate to shed his father's legacy of despair, alcoholism, and violence. Finally, he settles in a New Hampshire town, an AA community that sustains him, and a job at a nursing home where his remnant ""shining"" power provides the crucial final comfort to the dying. Aided by a prescient cat, he becomes ""Doctor Sleep."" Then Dan meets the evanescent Abra Stone, and it is her spectacular gift, the brightest shining ever seen, that reignites Dan's own demons and summons him to a battle for Abra's soul and survival.","English, Persian","Canada, United States",9 wins & 37 nominations total,https://m.media-amazon.com/images/M/MV5BNGUyNTg0NWItODdkZS00YWY0LTljNjItMDYwMTI1ZmZkMjExXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",59,7.3,"233,552",tt5606664,movie,N/A,"$31,581,712",N/A,N/A,True,,,
"Dude, Where's My Car?",2000,PG-13,15 Dec 2000,83 min,"Comedy, Mystery, Sci-Fi",Danny Leiner,Philip Stark,"Ashton Kutcher, Seann William Scott, Jennifer Garner","Roommates Jesse and Chester, both who have more than just a few cards short of a full deck, are stoner dudes who don't even do their jobs as pizza delivery guys well. They awaken one morning having little recollection of what they did the previous night, due to being wasted. They discover that their kitchen is full of prepackaged pudding, how they got all the pudding they are unaware. From a telephone message they receive, they come to the realization that at some point during the previous night they were at a party at the house of their girlfriends, twins Wanda and Wilma, and that today is their one year anniversary, which they did remember as they already bought the twins gifts. But the worst thing in not remembering what happened last night is that Jesse's car is missing. In trying to find out what happened to the car, they believe they have to recreate the feeling and mindset of last night, meaning getting wasted all over again. In trying to find the car, they, being the types that area easily distracted, get sidetracked by one item after another, most specifically the potential of having sex with hot babes (sex with which Wanda and Wilma have not yet provided them), and learning that they apparently had a suitcase filled with $200,000 last night, the suitcase and therefore the money to which they don't know what happened. During their day of discovery, they also end up encountering one group of alien wannabes, and two groups of actual aliens, all three groups who are after the continuum transfunctioner which they believe Jesse and Chester have. Jesse and Chester don't know where it is let alone what it is, but these three groups seem to be willing to do whatever necessary to get it from Jesse and Chester. In the process, Jesse and Chester may have to make decisions which may not only save their lives and those of Wanda, Wilma and their best friend Nelson, a zen-master, but that of the entire universe. But most importantly, they may actually find Jesse's car after all is said and done.","English, Japanese, French",United States,1 win & 6 nominations total,https://m.media-amazon.com/images/M/MV5BNmE3NmUxNjUtYzIzMS00MmEzLWJjNjUtNmQ5OTcxMDJkMGNiXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",30,5.5,"150,225",tt0242423,movie,N/A,"$46,729,800",N/A,N/A,True,,,
Une Fin Dans La Nuit,2020,N/A,02 May 2020,130 min,Horror,Clément Stupnicki,Clément Stupnicki,"Camille Besnard, Charles Bisson, Andy Cherel",N/A,French,France,N/A,https://m.media-amazon.com/images/M/MV5BMmUzMGMzODctNDY3OS00YWExLTk4MmEtNTk4OWIyNjZkNjBhXkEyXkFqcGdeQXVyMTM1NTg5OTg3._V1_SX300.jpg,,N/A,N/A,N/A,tt15235110,movie,N/A,N/A,N/A,N/A,True,,,
Wayne's World 2,1993,PG-13,10 Dec 1993,95 min,"Comedy, Music",Stephen Surjik,"Mike Myers, Bonnie Turner, Terry Turner","Mike Myers, Dana Carvey, Christopher Walken","Wayne is back, this time trying to organize a rock festival with help from friend Garth and the spirit of Jim Morrison (Doors). Meanwhile, his girlfriend's manager is busy trying to woo her away from Wayne and move her to LA. Life gets interesting when Wayne must rush from the concert to try and stop the wedding. Aerosmith are featured at the concert.","English, Cantonese",United States,3 nominations total,https://m.media-amazon.com/images/M/MV5BZTBmNzQ0OGUtYWY5ZC00ZjBhLTkwMzQtNjUxZGVlYTczMjEwXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",60,6.2,"91,066",tt0108525,movie,N/A,"$48,197,805",N/A,N/A,True,,,
Click,2006,PG-13,23 Jun 2006,107 min,"Comedy, Drama, Fantasy",Frank Coraci,"Steve Koren, Mark O'Keefe","Adam Sandler, Kate Beckinsale, Christopher Walken","Michael Newman (Sandler) is a hard working family man, who must please his boss (Hasselhoff), in order to get promoted. Problem is he gets less time with his family, and wishes for a remote in which he can control his life. This soon comes true for Newman, when he meets Morty (Walken), a crazy sales clerk, who has the ultimate remote. A remote in which he can do anything, including muting, skipping and dubbing his life. He finds this to be the opportunity in which he can not only skip every argument, but also skip to his promotion. He sees this as a good idea, until the remote goes horribly wrong.","English, Spanish, Japanese, Portuguese",United States,Nominated for 1 Oscar. 3 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BMTA1MTUxNDY4NzReQTJeQWpwZ15BbWU2MDE3ODAxNw@@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",45,6.4,"377,519",tt0389860,movie,N/A,"$137,355,633",N/A,N/A,True,,,
Longlegs,2024,R,12 Jul 2024,101 min,"Crime, Horror, Mystery",Osgood Perkins,Osgood Perkins,"Maika Monroe, Nicolas Cage, Blair Underwood","In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree.",English,"Canada, United States",9 wins & 32 nominations total,https://m.media-amazon.com/images/M/MV5BMmJkNGNiNjgtMzFlYy00ZDI5LWI2YzktZGVjYjI5MjQyMGU3XkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",77,6.6,"206,326",tt23468450,movie,N/A,"$74,346,140",N/A,N/A,True,,,
Frank,2014,R,05 Sep 2014,95 min,"Comedy, Drama, Music",Lenny Abrahamson,"Jon Ronson, Peter Straughan","Michael Fassbender, Domhnall Gleeson, Maggie Gyllenhaal","Jon, a young wanna-be musician, discovers he's bitten off more than he can chew when he joins an eccentric pop band led by the mysterious and enigmatic Frank.","English, French, German","Ireland, United Kingdom",13 wins & 18 nominations total,https://m.media-amazon.com/images/M/MV5BMjM0OTczMTcxOV5BMl5BanBnXkFtZTgwMDU1MDUwMjE@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",75,6.9,"83,456",tt1605717,movie,N/A,"$645,186",N/A,N/A,True,,,
Rat,2000,PG,06 Oct 2000,89 min,"Comedy, Drama, Family",Steve Barron,Wesley Burrowes,"Pete Postlethwaite, Imelda Staunton, Frank Kelly","Dublin deliveryman Hubert Flynn feels peaked. Home from the pub, he lies down; while his nagging wife Conchita looks on, he turns into a rat. She's chafed at how inconsiderate he is: hardly touching his food the next morning and leaving droppings on the good doilies. With curiosity seekers outside the flat and a writer at the door offering to help Conchita turn her story into a book, she calls a family meeting. Her seminary-bound son Pius wants to kill the rat; other family members are ambivalent. They opt to hurl Hubert over the fence of a maggot farm. Christmas approaches; an exorcism is in the cards, and the book becomes the Holy Grail. What of Hubert's conversion?",English,"Ireland, United Kingdom, United States",3 nominations,https://m.media-amazon.com/images/M/MV5BOTU0NzQ4OTc5N15BMl5BanBnXkFtZTcwNDEyNjAzMQ@@._V1_SX300.jpg,[object Object],N/A,5.9,"1,028",tt0234570,movie,N/A,"$2,630",N/A,N/A,True,,,
The Life of Chuck,2024,R,13 Jun 2025,111 min,"Drama, Fantasy, Sci-Fi",Mike Flanagan,"Mike Flanagan, Stephen King","Tom Hiddleston, Jacob Tremblay, Benjamin Pajak","A life-affirming, genre-bending story about three chapters in the life of an ordinary man named Charles Krantz.",English,United States,1 win & 5 nominations total,https://m.media-amazon.com/images/M/MV5BZDhlMzJhMTgtN2FhZS00OWQ1LTk3Y2ItZGNiNTQ0ZmUzYmIzXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",67,7.3,"35,834",tt12908150,movie,N/A,"$6,712,600",N/A,N/A,True,,,
Conspiracy,2001,R,19 May 2001,96 min,"Biography, Drama, History",Frank Pierson,Loring Mandel,"Clare Bullus, Stanley Tucci, Simon Markey","In January 1942, as the United States enters World War II, a conference assembles near Berlin. SS Gen. Heydrich and his associate, Lt. Eichmann call the meeting to discuss the ""evacuation"" of Germany's Jews and other undesirables, a code word for their extermination in concentration camps. To begin this Final Solution, they must change the mind of a small group of men opposed to the idea, led by Chancellor Kritzinger","English, German, Latin","United States, United Kingdom",Won 2 Primetime Emmys. 7 wins & 21 nominations total,https://m.media-amazon.com/images/M/MV5BY2Y0NTU4MTUtMTMyOC00MDk5LTg3ODMtY2Q4ZjAwNGYzN2IyXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object]",N/A,7.6,"28,545",tt0266425,movie,N/A,N/A,N/A,N/A,True,,,
The Night Manager,2016–2025,TV-14,19 Apr 2016,358 min,"Crime, Drama, Mystery",N/A,David Farr,"Tom Hiddleston, Olivia Colman, Alistair Petrie","An Englishman, Jonathan Pine (played by Tom Hiddleston), is working as the night manager of a Cairo hotel. He gets involved with a local woman who is the girlfriend of a local gangster. Through her relationship with the gangster she has acquired information linking illegal international arms sales with Richard Roper (Hugh Laurie), an English billionaire. She is soon found dead, murdered due to her having this information. Fearing for his own life, Pine flees, ending up working at a remote hotel in Switzerland. Four years pass, and then Roper visits the Swiss hotel. This rekindles Pines thirst for revenge, and he is enlisted by British Intelligence to spy on Roper. What follows is a very dangerous game of intrigue and deception.","English, French, Arabic, Spanish, Turkish, Latvian","United Kingdom, United States",Won 2 Primetime Emmys. 27 wins & 52 nominations total,https://m.media-amazon.com/images/M/MV5BMTk1NzkyMTUyN15BMl5BanBnXkFtZTgwNTM0NzM2ODE@._V1_SX300.jpg,[object Object],N/A,8.0,"111,179",tt1399664,series,,,,,True,,,2
Adventure Never Ends: A Tabletop Saga,2023,N/A,11 Apr 2023,39 min,"Documentary, Short","Douglisio Rudolpho Dimuccio, Rob D Miller",N/A,"Peter Adkison, Luke Gygax, Jerry Holkins","From dungeon-like basements to worldwide phenomenon, ADVENTURE NEVER ENDS: A TABLETOP SAGA explores how tabletop role-playing games have fought their way through decades of trial by fire to emerge at the height of pop culture- now...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMmEzMzI2OGUtMWQ3MC00NmQ4LWE1MTQtN2FiMWY0NmU0MjFmXkEyXkFqcGc@._V1_SX300.jpg,,N/A,N/A,14,tt27598773,movie,N/A,N/A,N/A,N/A,True,,,
Whiplash,2014,R,15 Oct 2014,106 min,"Drama, Music",Damien Chazelle,Damien Chazelle,"Miles Teller, J.K. Simmons, Melissa Benoist","Nineteen year old Andrew Niemann wants to be the greatest jazz drummer in the world, in a league with Buddy Rich. This goal is despite not coming from a pedigree of greatest, musical or otherwise, with Jim, his high school teacher father, being a failed writer. Andrew is starting his first year at Shaffer Conservatory of Music, the best music school in the United States. At Shaffer, being the best means being accepted to study under Terence Fletcher and being asked to play in his studio band, which represents the school at jazz competitions. Based on their less than positive first meeting, Andrew is surprised that Fletcher asks him to join the band, albeit in the alternate drummer position which he is more than happy to do initially. Andrew quickly learns that Fletcher operates on fear and intimidation, never settling for what he considers less than the best each and every time. Being the best in Fletcher's mind does not only entail playing well, but knowing that you're playing well and if not what you're doing wrong. His modus operandi creates an atmosphere of fear and of every man or woman for him/herself within the band. Regardless, Andrew works hard to be the best. He has to figure out his life priorities and what he is willing to sacrifice to be the best. The other question becomes how much emotional abuse he will endure by Fletcher to reach that greatness, which he may believe he can only achieve with the avenues opened up by Fletcher.",English,United States,Won 3 Oscars. 99 wins & 144 nominations total,https://m.media-amazon.com/images/M/MV5BMDFjOWFkYzktYzhhMC00NmYyLTkwY2EtYjViMDhmNzg0OGFkXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",89,8.5,"1,107,068",tt2582802,movie,N/A,"$14,003,391",N/A,N/A,True,,,
Late Night with the Devil,2023,R,22 Mar 2024,93 min,Horror,"Cameron Cairnes, Colin Cairnes","Colin Cairnes, Cameron Cairnes","David Dastmalchian, Laura Gordon, Ian Bliss","A live television broadcast in 1977 goes horribly wrong, unleashing evil into the nation's living rooms.",English,"Australia, United Arab Emirates, United States",11 wins & 38 nominations total,https://m.media-amazon.com/images/M/MV5BYTRiNWZlNGMtOTUwZi00ZjE4LWE1ZjEtNWE4MGQ2ZGU5NDliXkEyXkFqcGc@._V1_SX300.jpg,"[object Object],[object Object],[object Object]",72,7.0,"140,345",tt14966898,movie,N/A,"$10,001,000",N/A,N/A,True,,,
